processed,raw,similarity,ticker,totalEsg
3M,3M Company,0.3333333333333333,MMM,34.75
Abbott Laboratories,Abbott Laboratories,1.0,ABT,29.83
AbbVie,AbbVie Inc.,0.7058823529411765,ABBV,30.19
Accenture,Accenture plc,0.8181818181818182,ACN,11.24
Activision Blizzard,Activision Blizzard,1.0,ATVI,16.71
Adobe,Adobe Inc.,0.6666666666666666,ADBE,13.59
Advance Auto Parts,Advance Auto Parts,1.0,AAP,12.38
AES,AES Corp,0.5454545454545454,AES,33.15
AFLAC,AFLAC Inc,0.7142857142857143,AFL,23.62
Agilent Technologies,Agilent Technologies Inc,0.9090909090909091,A,16.79
Air Products & Chemicals,Air Products & Chemicals Inc,0.9230769230769231,APD,11.24
Akamai Technologies,Akamai Technologies Inc,0.9047619047619048,AKAM,21.16
Albemarle,Albemarle Corp,0.782608695652174,ALB,36.72
Alexion Pharmaceuticals,Alexion Pharmaceuticals,1.0,ALXN,24.69
Alliant Energy,Alliant Energy Corp,0.8484848484848485,LNT,36.02
Allstate,Allstate Corp,0.7619047619047619,ALL,22.63
Alphabet,Alphabet Inc. (Class A),0.5161290322580645,GOOGL,29.62
Altria,Altria Group Inc,0.5454545454545454,MO,24.82
Amazon.com,Amazon.com Inc.,0.8,AMZN,30.57
Ameren,Ameren Corp,0.7058823529411765,AEE,40.24
American Airlines,American Airlines Group,0.85,AAL,30.59
American Electric Power,American Electric Power,1.0,AEP,34.92
American Express Co,American Express Co,1.0,AXP,22.13
American International,American International Group,0.88,AIG,32.12
American Water Works,American Water Works Company Inc,0.7692307692307693,AWK,28.99
Ameriprise Financial,Ameriprise Financial,1.0,AMP,27.87
AmerisourceBergen,AmerisourceBergen Corp,0.8717948717948718,ABC,17.78
AMETEK,AMETEK Inc.,0.7058823529411765,AME,29.46
Amgen,Amgen Inc.,0.6666666666666666,AMGN,20.43
Amphenol,Amphenol Corp,0.7619047619047619,APH,23.81
Anthem,Anthem,1.0,ANTM,16.7
Aon,Aon plc,0.6,AON,23.0
A.O. Smith,A.O. Smith Corp,0.8,AOS,32.05
Apache,Apache Corporation,0.5,APA,39.05
Apartment Investment & Management,Apartment Investment & Management,1.0,AIV,18.66
Apple,Apple Inc.,0.6666666666666666,AAPL,23.62
Aptiv PLC,Aptiv PLC,1.0,APTV,15.01
Archer-Daniels-Midland Co,Archer-Daniels-Midland Co,1.0,ADM,34.24
Arista Networks,Arista Networks,1.0,ANET,19.35
Arthur J. Gallagher &,Arthur J. Gallagher & Co.,0.9130434782608695,AJG,24.72
Assurant,Assurant,1.0,AIZ,26.02
AT&T,AT&T Inc.,0.6153846153846154,T,18.71
Atmos Energy,Atmos Energy,1.0,ATO,35.63
Automatic Data Processing,Automatic Data Processing,1.0,ADP,12.4
AutoZone,AutoZone Inc,0.8,AZO,11.99
AvalonBay Communities,AvalonBay Communities,1.0,AVB,12.68
Avery Dennison,Avery Dennison Corp,0.8484848484848485,AVY,18.26
Ball,Ball Corp,0.6153846153846154,BLL,16.2
Bank of America,Bank of America Corp,0.8571428571428571,BAC,27.32
The Bank of New York Mellon,The Bank of New York Mellon,1.0,BK,21.49
Baxter International,Baxter International Inc.,0.8888888888888888,BAX,27.97
Becton Dickinson,Becton Dickinson,1.0,BDX,31.74
Best Buy,Best Buy Co. Inc.,0.64,BBY,11.85
Bio-Rad Laboratories,Bio-Rad Laboratories,1.0,BIO,21.56
Biogen,Biogen Inc.,0.7058823529411765,BIIB,23.43
BlackRock,BlackRock,1.0,BLK,23.19
Boeing,Boeing Company,0.6,BA,38.98
Booking,Booking Holdings Inc,0.5185185185185185,BKNG,19.45
BorgWarner,BorgWarner,1.0,BWA,23.99
Boston Properties,Boston Properties,1.0,BXP,14.35
Boston Scientific,Boston Scientific,1.0,BSX,30.79
Bristol-Myers Squibb,Bristol-Myers Squibb,1.0,BMY,28.19
Broadcom,Broadcom Inc.,0.7619047619047619,AVGO,26.32
Broadridge Financial Solutions,Broadridge Financial Solutions,1.0,BR,19.34
C. H. Robinson,C. H. Robinson Worldwide,0.7368421052631579,CHRW,25.96
Cabot Oil & Gas,Cabot Oil & Gas,1.0,COG,49.96
Campbell Soup,Campbell Soup,1.0,CPB,22.0
Capital One Financial,Capital One Financial,1.0,COF,26.55
Cardinal Health,Cardinal Health Inc.,0.8571428571428571,CAH,15.64
Carmax,Carmax Inc,0.75,KMX,13.5
Carnival,Carnival Corp.,0.7272727272727273,CCL,21.72
Caterpillar,Caterpillar Inc.,0.8148148148148148,CAT,37.02
Cboe Global Markets,Cboe Global Markets,1.0,CBOE,21.69
CBRE,CBRE Group,0.5714285714285714,CBRE,8.64
Celanese,Celanese,1.0,CE,29.85
Centene,Centene Corporation,0.5384615384615384,CNC,28.69
CenterPoint Energy,CenterPoint Energy,1.0,CNP,31.55
CenturyLink,CenturyLink Inc,0.8461538461538461,CTL,25.48
Cerner,Cerner,1.0,CERN,20.1
CF Industries,CF Industries Holdings Inc,0.6666666666666666,CF,47.74
Charles Schwab,Charles Schwab Corporation,0.7,SCHW,26.89
Charter Communications,Charter Communications,1.0,CHTR,20.0
Chevron,Chevron Corp.,0.7,CVX,40.22
Chipotle Mexican Grill,Chipotle Mexican Grill,1.0,CMG,24.74
Chubb Limited,Chubb Limited,1.0,CB,24.82
Church & Dwight,Church & Dwight,1.0,CHD,25.23
Cincinnati Financial,Cincinnati Financial,1.0,CINF,26.16
Cintas,Cintas Corporation,0.5,CTAS,25.35
Cisco Systems,Cisco Systems,1.0,CSCO,12.08
Citigroup,Citigroup Inc.,0.782608695652174,C,28.59
Citizens Financial,Citizens Financial Group,0.8571428571428571,CFG,27.92
Citrix Systems,Citrix Systems,1.0,CTXS,18.09
